Kode2,Mean,SE Mean,StDev,Minimum,Maximum
Sebelum Pengumuman Covid,3706.1,10.9,189.6,3175,4075
Sesudah Pengumuman Covid,2436.3,67.6,523.5,1860,3800
,,,,,
Statistics,,,,,
,,,,,
,Kondisi,Mean,StDev,Minimum,Maximum
,Sebelum Pengumuman Covid,3706.1,189.6,3175,4075
 ,Sesudah Pengumuman Covid,2436.3,523.5,1860,3800
